Elapsed_Time_s,Gaze_X_Left,Gaze_Y_Left,Gaze_X_Right,Gaze_Y_Right,Gaze_X_Average,Gaze_Y_Average,Pupil_Diameter_Left,Pupil_Diameter_Right,Validity_Left,Validity_Right,Looking_At_Interviewer,Eye_Movement_Type
6.514,0.5219378471374512,0.3576631546020508,0.4950655996799469,0.32233065366744995,0.508501723408699,0.33999690413475037,2.833953857421875,3.125274658203125,1,1,False,Fixation
6.530,0.524701714515686,0.36259856820106506,0.5001031756401062,0.3273279666900635,0.5124024450778961,0.34496326744556427,2.8417510986328125,3.1105194091796875,1,1,False,Fixation
6.547,0.5220720767974854,0.3686280846595764,0.49681368470191956,0.3239336311817169,0.5094428807497025,0.34628085792064667,2.8311004638671875,3.1132049560546875,1,1,False,Fixation
6.564,0.5222739577293396,0.34999266266822815,0.49275514483451843,0.32468631863594055,0.507514551281929,0.33733949065208435,2.8189239501953125,3.117523193359375,1,1,False,Fixation
6.580,0.5244277715682983,0.3458646535873413,0.4943074584007263,0.31589755415916443,0.5093676149845123,0.33088110387325287,2.804931640625,3.0974578857421875,1,1,False,Fixation
6.597,0.5266262888908386,0.34774062037467957,0.5006967186927795,0.3057866394519806,0.5136615037918091,0.3267636299133301,2.801544189453125,3.0840606689453125,1,1,False,Fixation
6.614,0.5307946801185608,0.3598964512348175,0.5027869343757629,0.3130697011947632,0.5167908072471619,0.33648307621479034,2.8007965087890625,3.0774383544921875,1,1,False,Fixation
6.630,0.5449853539466858,0.3784170150756836,0.5160943269729614,0.34754708409309387,0.5305398404598236,0.36298204958438873,2.7965545654296875,3.058258056640625,1,1,False,Fixation
6.647,0.5532650947570801,0.3827603757381439,0.5201186537742615,0.34923529624938965,0.5366918742656708,0.3659978359937668,2.77044677734375,3.0410003662109375,1,1,False,Fixation
6.664,0.5498595237731934,0.37762609124183655,0.5210326910018921,0.34032344818115234,0.5354461073875427,0.35897476971149445,2.7613983154296875,3.0351715087890625,1,1,False,Fixation
6.680,0.545960009098053,0.3837328255176544,0.516114354133606,0.3485424220561981,0.5310371816158295,0.36613762378692627,2.750946044921875,3.02520751953125,1,1,False,Fixation
6.697,0.5416424870491028,0.38762158155441284,0.5185839533805847,0.34955963492393494,0.5301132202148438,0.3685906082391739,2.7465362548828125,3.0068206787109375,1,1,False,Fixation
6.714,0.5443046689033508,0.3928343653678894,0.5217325687408447,0.3519380986690521,0.5330186188220978,0.37238623201847076,2.746063232421875,2.997100830078125,1,1,False,Fixation
6.730,0.5492486953735352,0.3943466246128082,0.5244123935699463,0.35263463854789734,0.5368305444717407,0.3734906315803528,2.739898681640625,2.9979400634765625,1,1,False,Fixation
6.747,0.5502623915672302,0.3694159984588623,0.518386721611023,0.3491256833076477,0.5343245565891266,0.359270840883255,2.7071990966796875,2.990447998046875,1,1,False,Fixation
6.763,0.5516944527626038,0.37722304463386536,0.5155565738677979,0.3459557592868805,0.5336255133152008,0.3615894019603729,2.6986541748046875,2.973388671875,1,1,False,Fixation
6.780,0.5481164455413818,0.37950748205184937,0.5144637227058411,0.3456924855709076,0.5312900841236115,0.3625999838113785,2.6979217529296875,2.9637451171875,1,1,False,Fixation
6.797,0.5437544584274292,0.3806525766849518,0.5158628225326538,0.34301692247390747,0.5298086404800415,0.3618347495794296,2.69891357421875,2.9496917724609375,1,1,False,Fixation
6.813,0.548302948474884,0.3830922842025757,0.5186085104942322,0.33982619643211365,0.5334557294845581,0.36145924031734467,2.7011566162109375,2.9481964111328125,1,1,False,Fixation
6.830,0.5494277477264404,0.38927391171455383,0.5105018019676208,0.3386150896549225,0.5299647748470306,0.36394450068473816,2.701873779296875,2.9564056396484375,1,1,False,Fixation
6.847,0.5470672845840454,0.37653493881225586,0.5133010149002075,0.33863216638565063,0.5301841497421265,0.35758355259895325,2.6942138671875,2.9446563720703125,1,1,False,Fixation
6.863,0.5461655855178833,0.390806645154953,0.5132842659950256,0.34843963384628296,0.5297249257564545,0.369623139500618,2.685760498046875,2.9529266357421875,1,1,False,Fixation
6.880,0.5440543293952942,0.3960970938205719,0.50470370054245,0.3462262451648712,0.5243790149688721,0.37116166949272156,2.6866607666015625,2.9369354248046875,1,1,False,Fixation
6.896,0.5312418937683105,0.4050602614879608,0.4941942095756531,0.3636161983013153,0.5127180516719818,0.38433822989463806,2.6830902099609375,2.9331207275390625,1,1,False,Fixation
6.913,0.5220218896865845,0.42150557041168213,0.49668920040130615,0.3655405044555664,0.5093555450439453,0.39352303743362427,2.7080841064453125,2.9351654052734375,1,1,False,Fixation
6.930,0.5210031867027283,0.42588913440704346,0.4933457374572754,0.3700924217700958,0.5071744620800018,0.39799077808856964,2.7068328857421875,2.9381103515625,1,1,False,Fixation
6.946,0.5246900320053101,0.41186079382896423,0.49610331654548645,0.36612117290496826,0.5103966742753983,0.38899098336696625,2.69378662109375,2.9425811767578125,1,1,False,Fixation
